Address	Arena 	City 	State  Abrv	State	Team 	Gender Distinction	Conference 	Capacity 	Opened
"Princess Anne, MD, Hytche Athletic Center"	Hytche Athletic Center	Princess Anne	MD	Maryland	Maryland Eastern Shore 		MEAC 	"5,500"	1999[5]
"Baltimore, MD, Talmadge L. Hill Field House"	Talmadge L. Hill Field House	Baltimore	MD	Maryland	Morgan State 		MEAC 	"4,250"	1975[6]
"Norfolk, VA, Joseph G. Echols Memorial Hall"	Joseph G. Echols Memorial Hall	Norfolk	VA	Virginia	Norfolk State 		MEAC 	"7,000"	1982
"Greensboro, NC, Corbett Sports Center"	Corbett Sports Center	Greensboro	NC	North Carolina	North Carolina A&T 		MEAC 	"5,700"	1978
"Durham, NC, McLendon–McDougald Gymnasium"	McLendon–McDougald Gymnasium	Durham	NC	North Carolina	North Carolina Central 		MEAC 	"3,056"	1955
"Savannah, GA, Tiger Arena"	Tiger Arena	Savannah	GA	Georgia	Savannah State 		MEAC[g] 	"6,000"	2000
"Orangeburg, SC, SHM Memorial Center"	SHM Memorial Center	Orangeburg	SC	South Carolina	South Carolina State 		MEAC 	"3,200"	1968
"Peoria, IL, Carver Arena"	Carver Arena	Peoria	IL	Illinois	Bradley 	Men	Missouri Valley 	"11,164"	1982
"Des Moines, IA, Knapp Center"	Knapp Center	Des Moines	IA	Iowa	Drake 		Missouri Valley 	"7,152"	1992
"Evansville, IN, Ford Center"	Ford Center	Evansville	IN	Indiana	Evansville 		Missouri Valley 	"10,000"	2011
"Normal, IL, Redbird Arena"	Redbird Arena	Normal	IL	Illinois	Illinois State 		Missouri Valley 	"10,200"	1989
"Terre Haute, IN, Hulman Center"	Hulman Center	Terre Haute	IN	Indiana	Indiana State 		Missouri Valley 	"10,200"	1973
"Chicago, IL, Joseph J. Gentile Arena"	Joseph J. Gentile Arena	Chicago	IL	Illinois	Loyola (Chicago) 		Missouri Valley 	"4,486"	1996
"Springfield, MO, JQH Arena"	JQH Arena	Springfield	MO	Missouri	Missouri State 		Missouri Valley 	"11,000"	2008
"Cedar Falls, IA, McLeod Center"	McLeod Center	Cedar Falls	IA	Iowa	Northern Iowa 		Missouri Valley 	"6,650"	2006
"Carbondale, IL, SIU Arena"	SIU Arena	Carbondale	IL	Illinois	Southern Illinois 		Missouri Valley 	"8,339"	1964
"Valparaiso, IN, Athletics–Recreation Center"	Athletics–Recreation Center	Valparaiso	IN	Indiana	Valparaiso 		Missouri Valley 	"5,000"	1984
"Colorado Springs, CO, Clune Arena"	Clune Arena	Colorado Springs	CO	Colorado	Air Force 		Mountain West 	"5,858"	1968
"Boise, ID, Taco Bell Arena"	Taco Bell Arena	Boise	ID	Idaho	Boise State 		Mountain West 	"12,480"	1982
"Fort Collins, CO, Moby Arena"	Moby Arena	Fort Collins	CO	Colorado	Colorado State 		Mountain West 	"8,745"	1966
"Fresno, CA, Save Mart Center"	Save Mart Center	Fresno	CA	California	Fresno State 		Mountain West 	"15,544"	2003
"Reno, NV, Lawlor Events Center"	Lawlor Events Center	Reno	NV	Nevada	Nevada 		Mountain West 	"11,536"	1983
"Albuquerque, NM, Dreamstyle Arena"	Dreamstyle Arena	Albuquerque	NM	New Mexico	New Mexico 		Mountain West 	"15,411"	1966
"San Diego, CA, Viejas Arena"	Viejas Arena	San Diego	CA	California	San Diego State 		Mountain West 	"12,414"	1997
"San Jose, CA, Event Center Arena"	Event Center Arena	San Jose	CA	California	San Jose State 		Mountain West 	"5,000"	1989
"Paradise, NV, Thomas & Mack Center"	Thomas & Mack Center	Paradise	NV	Nevada	UNLV 	Men	Mountain West 	"18,776"	1983
"Logan, UT, Smith Spectrum"	Smith Spectrum	Logan	UT	Utah	Utah State 		Mountain West 	"10,270"	1968
"Laramie, WY, Arena-Auditorium"	Arena-Auditorium	Laramie	WY	Wyoming	Wyoming 		Mountain West 	"15,028"	1982
"Smithfield, RI, Chace Athletic Center"	Chace Athletic Center	Smithfield	RI	Rhode Island	Bryant 		Northeast 	"2,700"	2001
"New Britain, CT, William H. Detrick Gymnasium"	William H. Detrick Gymnasium	New Britain	CT	Connecticut	Central Connecticut 		Northeast 	"2,654"	1965
"Hackensack, NJ, Rothman Center"	Rothman Center	Hackensack	NJ	New Jersey	Fairleigh Dickinson 		Northeast 	"5,000"	1987
"Brooklyn, NY, Wellness, Recreation & Athletics Center"	"Wellness, Recreation & Athletics Center"	Brooklyn	NY	New York	LIU Brooklyn 		Northeast 	"2,500"	2006
"Emmitsburg, MD, Knott Arena"	Knott Arena	Emmitsburg	MD	Maryland	Mount St. Mary's 		Northeast 	"3,121"	1987
"Pittsburgh, PA, UPMC Events Center[h]"	UPMC Events Center[h]	Pittsburgh	PA	Pennsylvania	Robert Morris 		Northeast 	"4,000"	2019
"Fairfield, CT, William H. Pitt Center"	William H. Pitt Center	Fairfield	CT	Connecticut	Sacred Heart 		Northeast 	"2,062"	1997
"Brooklyn, NY, Generoso Pope Athletic Complex"	Generoso Pope Athletic Complex	Brooklyn	NY	New York	St. Francis Brooklyn 		Northeast 	"1,200"	1971
"Loretto, PA, DeGol Arena"	DeGol Arena	Loretto	PA	Pennsylvania	Saint Francis (PA) 		Northeast 	"3,500"	1972
"Staten Island, NY, Spiro Sports Center"	Spiro Sports Center	Staten Island	NY	New York	Wagner 		Northeast 	"2,100"	1999
"Clarksville, TN, Dunn Center"	Dunn Center	Clarksville	TN	Tennessee	Austin Peay 		Ohio Valley 	"9,000"	1975
"Nashville, TN, Curb Event Center"	Curb Event Center	Nashville	TN	Tennessee	Belmont 		Ohio Valley 	"5,085"	2003
"Charleston, IL, Lantz Arena"	Lantz Arena	Charleston	IL	Illinois	Eastern Illinois 		Ohio Valley 	"5,300"	1967
"Richmond, KY, Alumni Coliseum"	Alumni Coliseum	Richmond	KY	Kentucky	Eastern Kentucky 		Ohio Valley 	"6,500"	1963
"Jacksonville, AL, Pete Mathews Coliseum"	Pete Mathews Coliseum	Jacksonville	AL	Alabama	Jacksonville State 		Ohio Valley 	"5,300"	1974
"Morehead, KY, Ellis Johnson Arena"	Ellis Johnson Arena	Morehead	KY	Kentucky	Morehead State 		Ohio Valley 	"6,500"	1981
"Murray, KY, CFSB Center"	CFSB Center	Murray	KY	Kentucky	Murray State 		Ohio Valley 	"8,602"	1998
"Cape Girardeau, MO, Show Me Center"	Show Me Center	Cape Girardeau	MO	Missouri	Southeast Missouri State 		Ohio Valley 	"6,972"	1987
"Edwardsville, IL, Vadalabene Center"	Vadalabene Center	Edwardsville	IL	Illinois	SIU Edwardsville 		Ohio Valley 	"4,000"	1984
"Martin, TN, Tom and Kathleen Elam Center"	Tom and Kathleen Elam Center	Martin	TN	Tennessee	Tennessee-Martin 		Ohio Valley 	"5,000"	1969
"Nashville, TN, Gentry Complex"	Gentry Complex	Nashville	TN	Tennessee	Tennessee State 		Ohio Valley 	"10,500"	1980
"Cookeville, TN, Eblen Center"	Eblen Center	Cookeville	TN	Tennessee	Tennessee Tech 		Ohio Valley 	"9,282"	1977
"Tucson, AZ, McKale Center"	McKale Center	Tucson	AZ	Arizona	Arizona 		Pac-12 	"14,545"	1973
"Tempe, AZ, Wells Fargo Arena"	Wells Fargo Arena	Tempe	AZ	Arizona	Arizona State 		Pac-12 	"10,754"	1974
"Berkeley, CA, Haas Pavilion"	Haas Pavilion	Berkeley	CA	California	California 		Pac-12 	"11,877"	1933
"Boulder, CO, CU Events Center"	CU Events Center	Boulder	CO	Colorado	Colorado 		Pac-12 	"11,064"	1979
"Eugene, OR, Matthew Knight Arena"	Matthew Knight Arena	Eugene	OR	Oregon	Oregon 		Pac-12 	"12,369"	2011
"Corvallis, OR, Gill Coliseum"	Gill Coliseum	Corvallis	OR	Oregon	Oregon State 		Pac-12 	"9,604"	1949
"Stanford, CA, Maples Pavilion"	Maples Pavilion	Stanford	CA	California	Stanford 		Pac-12 	"7,329"	1969
"Los Angeles, CA, Pauley Pavilion"	Pauley Pavilion	Los Angeles	CA	California	UCLA 		Pac-12 	"13,800[7] "	1965
"Los Angeles, CA, Galen Center"	Galen Center	Los Angeles	CA	California	USC 		Pac-12 	"10,258"	2006
"Salt Lake City, UT, Jon M. Huntsman Center"	Jon M. Huntsman Center	Salt Lake City	UT	Utah	Utah 		Pac-12 	"15,000"	1969
"Seattle, WA, Alaska Airlines Arena at Hec Edmundson Pavilion"	Alaska Airlines Arena at Hec Edmundson Pavilion	Seattle	WA	Washington	Washington 		Pac-12 	"10,000"	1927
"Pullman, WA, Beasley Coliseum"	Beasley Coliseum	Pullman	WA	Washington	Washington State 		Pac-12 	"11,671"	1973
"Washington, DC, Bender Arena"	Bender Arena	Washington	DC	District of Columbia	American 		Patriot 	"4,500"	1988
"West Point, NY, Christl Arena"	Christl Arena	West Point	NY	New York	Army 		Patriot 	"5,043"	1985
"Boston, MA, Agganis Arena"	Agganis Arena	Boston	MA	Massachusetts	Boston University 		Patriot 	"7,200"	2005
"Lewisburg, PA, Sojka Pavilion"	Sojka Pavilion	Lewisburg	PA	Pennsylvania	Bucknell 		Patriot 	"4,000"	2003
"Hamilton, NY, Cotterell Court"	Cotterell Court	Hamilton	NY	New York	Colgate 		Patriot 	"1,750"	1959
"Worcester, MA, Hart Center"	Hart Center	Worcester	MA	Massachusetts	Holy Cross 		Patriot 	"3,600"	1975
"Easton, PA, Kirby Sports Center"	Kirby Sports Center	Easton	PA	Pennsylvania	Lafayette 		Patriot 	"3,500"	1973
"Bethlehem, PA, Stabler Arena"	Stabler Arena	Bethlehem	PA	Pennsylvania	Lehigh 		Patriot 	"6,000"	1979
"Baltimore, MD, Reitz Arena"	Reitz Arena	Baltimore	MD	Maryland	Loyola (Maryland) 		Patriot 	"3,000"	1984[8]
"Annapolis, MD, Alumni Hall"	Alumni Hall	Annapolis	MD	Maryland	Navy 		Patriot 	"5,710"	1991
"Tuscaloosa, AL, Coleman Coliseum"	Coleman Coliseum	Tuscaloosa	AL	Alabama	Alabama 		SEC 	"15,383"	1968
"Fayetteville, AR, Bud Walton Arena"	Bud Walton Arena	Fayetteville	AR	Arkansas	Arkansas 		SEC 	"19,368"	1993
"Auburn, AL, Auburn Arena"	Auburn Arena	Auburn	AL	Alabama	Auburn 		SEC 	"9,121"	2010
"Gainesville, FL, O'Connell Center"	O'Connell Center	Gainesville	FL	Florida	Florida 		SEC 	"12,000"	1980
"Athens, GA, Stegeman Coliseum"	Stegeman Coliseum	Athens	GA	Georgia	Georgia 		SEC 	"10,523"	1964
"Lexington, KY, Rupp Arena"	Rupp Arena	Lexington	KY	Kentucky	Kentucky 	Men	SEC 	"23,500"	1976
"Baton Rouge, LA, Pete Maravich Assembly Center"	Pete Maravich Assembly Center	Baton Rouge	LA	Louisiana	LSU 		SEC 	"13,215"	1972
"Oxford, MS, The Pavilion at Ole Miss"	The Pavilion at Ole Miss	Oxford	MS	Mississippi	Mississippi 		SEC 	"9,500"	2016
"Starkville, MS, Humphrey Coliseum"	Humphrey Coliseum	Starkville	MS	Mississippi	Mississippi State 		SEC 	"10,575"	1975
"Columbia, MO, Mizzou Arena"	Mizzou Arena	Columbia	MO	Missouri	Missouri 		SEC 	"15,061"	2004
"Columbia, SC, Colonial Life Arena"	Colonial Life Arena	Columbia	SC	South Carolina	South Carolina 		SEC 	"18,000"	2002
"Knoxville, TN, Thompson–Boling Arena"	Thompson–Boling Arena	Knoxville	TN	Tennessee	Tennessee 		SEC 	"21,678"	1987
"College Station, TX, Reed Arena"	Reed Arena	College Station	TX	Texas	Texas A&M 		SEC 	"12,989"	1998
"Nashville, TN, Memorial Gymnasium"	Memorial Gymnasium	Nashville	TN	Tennessee	Vanderbilt 		SEC 	"14,316"	1952
"Chattanooga, TN, McKenzie Arena"	McKenzie Arena	Chattanooga	TN	Tennessee	Chattanooga 		Southern 	"10,928"	1982
"Charleston, SC, McAlister Field House"	McAlister Field House	Charleston	SC	South Carolina	The Citadel 		Southern 	"6,000"	1939
"Johnson City, TN, Freedom Hall Civic Center"	Freedom Hall Civic Center	Johnson City	TN	Tennessee	East Tennessee State 		Southern 	"6,149"	1974
"Greenville, SC, Timmons Arena"	Timmons Arena	Greenville	SC	South Carolina	Furman 		Southern 	"4,000"	1998
"Macon, GA, Hawkins Arena"	Hawkins Arena	Macon	GA	Georgia	Mercer 		Southern 	"3,500"	2004
"Homewood, AL, Pete Hanna Center"	Pete Hanna Center	Homewood	AL	Alabama	Samford 		Southern 	"4,974"	2007
"Greensboro, NC, Greensboro Coliseum"	Greensboro Coliseum	Greensboro	NC	North Carolina	UNC Greensboro 		Southern 	"7,613"	1959
"Lexington, VA, Cameron Hall"	Cameron Hall	Lexington	VA	Virginia	VMI 		Southern 	"5,800"	1981
"Cullowhee, NC, Ramsey Center"	Ramsey Center	Cullowhee	NC	North Carolina	Western Carolina 		Southern 	"7,826"	1986
"Spartanburg, SC, Jerry Richardson Indoor Stadium"	Jerry Richardson Indoor Stadium	Spartanburg	SC	South Carolina	Wofford 		Southern 	"3,400"	2017
"Abilene, TX, Moody Coliseum"	Moody Coliseum	Abilene	TX	Texas	Abilene Christian 		Southland 	"4,600"	1968
"Conway, AR, Farris Center"	Farris Center	Conway	AR	Arkansas	Central Arkansas 		Southland 	"6,000"	1972
"Houston, TX, Sharp Gymnasium"	Sharp Gymnasium	Houston	TX	Texas	Houston Baptist 		Southland 	"1,000"	1963[9]
"San Antonio, TX, McDermott Center"	McDermott Center	San Antonio	TX	Texas	Incarnate Word 		Southland 	"2,000"	1989
"Beaumont, TX, Montagne Center"	Montagne Center	Beaumont	TX	Texas	Lamar 		Southland 	"10,746"	1984
"Lake Charles, LA, Health and Human Performance Education Complex"	Health and Human Performance Education Complex	Lake Charles	LA	Louisiana	McNeese State 		Southland 	"4,200"	2018
"New Orleans, LA, Lakefront Arena"	Lakefront Arena	New Orleans	LA	Louisiana	New Orleans 		Southland 	"8,933"	1983
"Thibodaux, LA, Stopher Gymnasium"	Stopher Gymnasium	Thibodaux	LA	Louisiana	Nicholls State 		Southland 	"3,800"	1967[10]
"Natchitoches, LA, Prather Coliseum"	Prather Coliseum	Natchitoches	LA	Louisiana	Northwestern State 		Southland 	"3,900"	1964
"Huntsville, TX, Bernard Johnson Coliseum"	Bernard Johnson Coliseum	Huntsville	TX	Texas	Sam Houston State 		Southland 	"6,100"	1976
"Hammond, LA, University Center"	University Center	Hammond	LA	Louisiana	Southeastern Louisiana 		Southland 	"7,500"	1982
"Nacogdoches, TX, William R. Johnson Coliseum"	William R. Johnson Coliseum	Nacogdoches	TX	Texas	Stephen F. Austin 		Southland 	"7,203"	1974
"Corpus Christi, TX, American Bank Center Arena[j]"	American Bank Center Arena[j]	Corpus Christi	TX	Texas	Texas A&M-Corpus Christi 		Southland 	"8,000"	2004
"Denver, CO, Magness Arena"	Magness Arena	Denver	CO	Colorado	Denver 		Summit 	"7,200"	1999
"Grand Forks, ND, Betty Engelstad Sioux Center"	Betty Engelstad Sioux Center	Grand Forks	ND	North Dakota	North Dakota 		Summit 	"3,300"	2004
"Fargo, ND, Scheels Center"	Scheels Center	Fargo	ND	North Dakota	North Dakota State 		Summit 	"5,700"	2016
"Omaha, NE, Baxter Arena"	Baxter Arena	Omaha	NE	Nebraska	Omaha 		Summit 	"7,500[11] "	2015
"Tulsa, OK, Mabee Center"	Mabee Center	Tulsa	OK	Oklahoma	Oral Roberts 		Summit 	"10,554"	1972
"Fort Wayne, IN, Hilliard Gates Sports Center"	Hilliard Gates Sports Center	Fort Wayne	IN	Indiana	Purdue Fort Wayne 		Summit 	"2,300"	1981
"Vermillion, SD, Sanford Coyote Sports Center"	Sanford Coyote Sports Center	Vermillion	SD	South Dakota	South Dakota 		Summit 	"6,000"	2016
"Brookings, SD, Frost Arena"	Frost Arena	Brookings	SD	South Dakota	South Dakota State 		Summit 	"6,500"	1973
"Macomb, IL, Western Hall"	Western Hall	Macomb	IL	Illinois	Western Illinois 		Summit 	"5,139"	1964
"Boone, NC, George M. Holmes Convocation Center"	George M. Holmes Convocation Center	Boone	NC	North Carolina	Appalachian State 		Sun Belt 	"8,325"	2000
"Jonesboro, AR, First National Bank Arena"	First National Bank Arena	Jonesboro	AR	Arkansas	Arkansas State 		Sun Belt 	"10,563"	1987
"Conway, SC, HTC Center"	HTC Center	Conway	SC	South Carolina	Coastal Carolina 		Sun Belt 	"3,600"	2012
"Statesboro, GA, Hanner Fieldhouse"	Hanner Fieldhouse	Statesboro	GA	Georgia	Georgia Southern 		Sun Belt 	"4,325[12] "	1969
"Atlanta, GA, GSU Sports Arena"	GSU Sports Arena	Atlanta	GA	Georgia	Georgia State 		Sun Belt 	"3,854[13] "	1973
"Little Rock, AR, Jack Stephens Center"	Jack Stephens Center	Little Rock	AR	Arkansas	Little Rock 		Sun Belt 	"5,600"	2005
"Lafayette, LA, Cajundome"	Cajundome	Lafayette	LA	Louisiana	Louisiana 		Sun Belt 	"13,500"	1985
"Monroe, LA, Fant–Ewing Coliseum"	Fant–Ewing Coliseum	Monroe	LA	Louisiana	Louisiana–Monroe 		Sun Belt 	"7,085"	1971
"Mobile, AL, Mitchell Center"	Mitchell Center	Mobile	AL	Alabama	South Alabama 		Sun Belt 	"10,041"	1998
"Arlington, TX, College Park Center"	College Park Center	Arlington	TX	Texas	Texas-Arlington 		Sun Belt 	"7,000"	2012
"San Marcos, TX, Strahan Coliseum"	Strahan Coliseum	San Marcos	TX	Texas	Texas State 		Sun Belt 	"7,200"	1982
"Troy, AL, Trojan Arena"	Trojan Arena	Troy	AL	Alabama	Troy 		Sun Belt 	"5,200[14] "	2012
"Normal, AL, Elmore Gymnasium"	Elmore Gymnasium	Normal	AL	Alabama	Alabama A&M 		SWAC 	"6,000"	1973[15]
"Montgomery, AL, Dunn–Oliver Acadome"	Dunn–Oliver Acadome	Montgomery	AL	Alabama	Alabama State 		SWAC 	"7,400"	1992
"Lorman, MS, Davey Whitney Complex"	Davey Whitney Complex	Lorman	MS	Mississippi	Alcorn State 		SWAC 	"7,000"	1975
"Pine Bluff, AR, K. L. Johnson Complex"	K. L. Johnson Complex	Pine Bluff	AR	Arkansas	Arkansas-Pine Bluff 		SWAC 	"4,500"	1982
"Grambling, LA, Fredrick C. Hobdy Assembly Center"	Fredrick C. Hobdy Assembly Center	Grambling	LA	Louisiana	Grambling 		SWAC 	"7,500"	2007
"Jackson, MS, Williams Assembly Center"	Williams Assembly Center	Jackson	MS	Mississippi	Jackson State 		SWAC 	"8,000"	1981
"Itta Bena, MS, Harrison HPER Complex"	Harrison HPER Complex	Itta Bena	MS	Mississippi	Mississippi Valley State 		SWAC 	"5,000"	1970[16]
"Prairie View, TX, William J. Nicks Building"	William J. Nicks Building	Prairie View	TX	Texas	Prairie View A&M 		SWAC 	"6,500"	1968[17]
"Baton Rouge, LA, F. G. Clark Center"	F. G. Clark Center	Baton Rouge	LA	Louisiana	Southern 		SWAC 	"7,500"	1975
"Houston, TX, Health and Physical Education Arena"	Health and Physical Education Arena	Houston	TX	Texas	Texas Southern 		SWAC 	"8,100"	1989
"Provo, UT, Marriott Center"	Marriott Center	Provo	UT	Utah	BYU 		West Coast 	"19,000"	1971
"Spokane, WA, McCarthey Athletic Center"	McCarthey Athletic Center	Spokane	WA	Washington	Gonzaga 		West Coast 	"6,000"	2004
"Los Angeles, CA, Gersten Pavilion"	Gersten Pavilion	Los Angeles	CA	California	Loyola Marymount 		West Coast 	"4,156"	1981
"Stockton, CA, Alex G. Spanos Center"	Alex G. Spanos Center	Stockton	CA	California	Pacific 		West Coast 	"6,150"	1981
"Malibu, CA, Firestone Fieldhouse"	Firestone Fieldhouse	Malibu	CA	California	Pepperdine 		West Coast 	"3,104"	1973
"Portland, OR, Chiles Center"	Chiles Center	Portland	OR	Oregon	Portland 		West Coast 	"4,852"	1984
"Moraga, CA, McKeon Pavilion"	McKeon Pavilion	Moraga	CA	California	Saint Mary's 		West Coast 	"3,500"	1978
"San Diego, CA, Jenny Craig Pavilion"	Jenny Craig Pavilion	San Diego	CA	California	San Diego 		West Coast 	"5,100"	2000
"San Francisco, CA, War Memorial Gymnasium"	War Memorial Gymnasium	San Francisco	CA	California	San Francisco 		West Coast 	"5,300"	1958
"Santa Clara, CA, Leavey Center"	Leavey Center	Santa Clara	CA	California	Santa Clara 		West Coast 	"4,500"	1975
"Bakersfield, CA, Icardo Center"	Icardo Center	Bakersfield	CA	California	Cal State Bakersfield 		WAC[k] 	"3,800"	1989
"Riverside, CA, CBU Events Center"	CBU Events Center	Riverside	CA	California	California Baptist 		WAC 	"5,050[18] "	2017
"Chicago, IL, Emil and Patricia Jones Convocation Center"	Emil and Patricia Jones Convocation Center	Chicago	IL	Illinois	Chicago State 		WAC 	"7,000"	2007
"Phoenix, AZ, GCU Arena"	GCU Arena	Phoenix	AZ	Arizona	Grand Canyon 		WAC 	"7,500"	2011
"Las Cruces, NM, Pan American Center"	Pan American Center	Las Cruces	NM	New Mexico	New Mexico State 		WAC 	"12,482"	1968
"Seattle, WA, Redhawk Center"	Redhawk Center	Seattle	WA	Washington	Seattle 		WAC 	999	1959
"Kansas City, MO, Municipal Auditorium"	Municipal Auditorium	Kansas City	MO	Missouri	UMKC 	Men	WAC 	"9,987"	1936
"Orem, UT, UCCU Center"	UCCU Center	Orem	UT	Utah	Utah Valley 		WAC 	"8,500"	1996
"Edinburg, TX, UTRGV Fieldhouse"	UTRGV Fieldhouse	Edinburg	TX	Texas	UTRGV 		WAC 	"2,500"	1969
"Chapel Hill, NC, Carmichael Arena"	Carmichael Arena	Chapel Hill	NC	North Carolina	North Carolina 	Women	ACC 	"8,010"	1965
"Raleigh, NC, Reynolds Coliseum"	Reynolds Coliseum	Raleigh	NC	North Carolina	North Carolina State 	Women	ACC 	"9,500"	1949
"Memphis, TN, Elma Roane Fieldhouse"	Elma Roane Fieldhouse	Memphis	TN	Tennessee	Memphis 	Women	The American 	"2,565"	1951
"Wichita, KS, Intrust Bank Arena"	Intrust Bank Arena	Wichita	KS	Kansas	Wichita State 	Men	The American 	"15,004"	2010
"Philadelphia, PA, McGonigle Hall"	McGonigle Hall	Philadelphia	PA	Pennsylvania	Temple 	Women	The American 	"3,900"	1969
"Hartford, CT, XL Center"	XL Center	Hartford	CT	Connecticut	Connecticut 		The American 	"16,294"	1975
"Milwaukee, WI, Al McGuire Center"	Al McGuire Center	Milwaukee	WI	Wisconsin	Marquette 	Women	Big East 	"4,000"	2004
"Providence, RI, Alumni Hall"	Alumni Hall	Providence	RI	Rhode Island	Providence 	Women	Big East 	"2,620"	1955
"Omaha, NE, D. J. Sokol Arena"	D. J. Sokol Arena	Omaha	NE	Nebraska	Creighton 	Women	Big East 	"2,950"	2009
"Queens, NY, Carnesecca Arena"	Carnesecca Arena	Queens	NY	New York	St. John's 	Women	Big East 	"5,602"	1961
"Washington, DC, McDonough Gymnasium"	McDonough Gymnasium	Washington	DC	District of Columbia	Georgetown 	Women	Big East 	"2,500"	1951
"South Orange, NJ, Walsh Gymnasium"	Walsh Gymnasium	South Orange	NJ	New Jersey	Seton Hall 	Women	Big East 	"2,600"	1939
"Philadelphia, PA, Wells Fargo Center"	Wells Fargo Center	Philadelphia	PA	Pennsylvania	Villanova 	Men	Big East 	"20,318"	1996
"Moscow, ID, Memorial Gymnasium"	Memorial Gymnasium	Moscow	ID	Idaho	Idaho Vandals 		Big Sky 	"2,500"	1928
"Pocatello, ID, Reed Gym"	Reed Gym	Pocatello	ID	Idaho	Idaho State 	Women	Big Sky 	"3,214"	1951
"North Charleston, SC, North Charleston Coliseum"	North Charleston Coliseum	North Charleston	SC	South Carolina	Charleston Southern 		Big South 	"11,475"	1993
"Boston, MA, Cabot Center"	Cabot Center	Boston	MA	Massachusetts	Northeastern 	Women	Colonial 	"2,500"	1954
"Indianapolis, IN, The Jungle"	The Jungle	Indianapolis	IN	Indiana	IUPUI 	Women	Horizon 	"1,215"	1982
"Green Bay, WI, Kress Events Center"	Kress Events Center	Green Bay	WI	Wisconsin	Green Bay 	Women	Horizon 	"4,018"	2007
"Milwaukee, WI, Klotsche Center"	Klotsche Center	Milwaukee	WI	Wisconsin	Milwaukee 	Women	Horizon 	"3,500"	1977
"Loudonville, NY, Alumni Recreation Center"	Alumni Recreation Center	Loudonville	NY	New York	Siena 	Women	Metro Atlantic 	"4,000"	1974
"Peoria, IL, Renaissance Coliseum"	Renaissance Coliseum	Peoria	IL	Illinois	Bradley 	Women	Missouri Valley 	"4,200"	2010
"Paradise, NV, Cox Pavilion"	Cox Pavilion	Paradise	NV	Nevada	UNLV 	Women	Mountain West 	"2,500"	2001
"Boston, MA, Case Gym"	Case Gym	Boston	MA	Massachusetts	Boston University 		Patriot 	"1,800"	1972
"Lexington, KY, Memorial Coliseum"	Memorial Coliseum	Lexington	KY	Kentucky	Kentucky 	Women	SEC 	"8,000"	1950
"Greensboro, NC, Fleming Gymnasium"	Fleming Gymnasium	Greensboro	NC	North Carolina	UNC Greensboro 	Women	Southern 	"2,320"	1989
"Corpus Christi, TX, Dugan Wellness Center"	Dugan Wellness Center	Corpus Christi	TX	Texas	Texas A&M–Corpus Christi Islanders 		Southland 	"1,200"	2008
"Lafayette, LA, Earl K. Long Gymnasium"	Earl K. Long Gymnasium	Lafayette	LA	Louisiana	Louisiana 	Women	Sun Belt 	"1,500"	1939
"Seattle, WA, KeyArena"	KeyArena	Seattle	WA	Washington	Seattle Redhawks	Men	WAC 	"17,062"	1962
"Bakersfield, CA, Rabobank Arena"	Rabobank Arena	Bakersfield	CA	California	Cal State Bakersfield 		WAC 	"9,333"	1998
"Kansas City, MO, Swinney Recreation Center"	Swinney Recreation Center	Kansas City	MO	Missouri	UMKC 	Women	WAC 	"1,500"	1940
